title,artist,spotify_id,lyrics,bpm,energy,danceability,loudness,valence,rhyme_density,rhyme_density_old
Why,Supreme Team,5pYEwyxy945VZAOT0UoXeh,"당연히 난 장난이거나
아님 잠깐 나에게 뭔가 삐친 게 있겠지 하고 착각 했어
툴툴 대는 네 말투, 줄어든 만남의 횟수
얼어붙은 네 표정 땜에 꺼져가는 내 맘의 횃불
그 어떤 아름다운 말로도
수습하기 힘든 지금 내 남은 믿음까지
시들해질 필요는 없다고 느끼는데
예전 같지 않아, 화도 꾹꾹 참으면서 네 자신을 숨기는 게
네가 말해주기 전까진
내가 뭘 잘못했는지 조차 깨닫지 못하는 것 잘 알잖아
죽느니 사느니 했던 이별 앞에서도
우린 수십 번 떨어졌다가도 다시 만났잖아
마지막이라는 말도 이제 마지막이니까
잠시만이라도 나와 줘, 너의 집 앞이니까
헤어지더라도 서로 얼굴은 보고 끝내
나에게 아쉬움이라도 남아있다면 좋게 끝내

왜라니, 내가 네 남자친구잖아
말 한마디로 다 떼 내 버릴 사인 아니잖아
왜라니, 이렇게 툭 던져놓으면 안되지
떠나고 싶은 맘, 그 맘까진 다 이해할 테니
도망가듯 떠나진 말아
얘기 좀만 더 하자, 네가 못된 거야 이건
미안하단 말? 그딴 건 기대도 안하니까
일단 와서 얼굴보고 말해
아직 우리 그 정도론 가까워
난 아까워, 네가 버리고 싶어 하는 기억들
네 입장에서 난 사라져야 되지
그렇게 미웠고 내가 싫었으면
미리 티라도 내지
내가 심하게 눈치 없던 것도 아닌데
꼭 지금 갑자기 꺼지라는 식으로
전부 다 밀어내야 됐는지
한번만 더 물어볼게
한번만 더 대답해
한번만 다시 생각해",117.027,0.856,0.684,-2.676,0.343,0.3625,0.346
Unknowingly,Supreme Team,4Oq5kT6QYVJgJwUjcdKJiU,"Yeah, 눈 딱감고 넘어갈까
뭘 물어보기도 겁이나고
너와 그 사람 같이 있는 상상에 밤새 머리 아퍼
여기까지 오게 만든 날 탓하자
어차피 널 만나는 날 마다
멍청한 놈 처럼 다 잊어 버리게 돼
이제는 진실조차 나만 모르게 해

다른 사람이 니 옆에 서있다는 걸
처음에 나는 믿지 못했어
그래도 너에게 화내고 싶진 않았어
그대로 니가 날 떠날 것 같았어
어색해 지기라도 하면 안되니까
너를 보는게 더 힘들어질테니까
사실을 부정하려 애쓰고 있지
나만 애쓰고 있지

친구가 미련하대, 이별이 답인데
왜 버티냐고 물어, 그게 아닌데
날 위한 모습이 거짓이라도
지금 웃을 수 있는 것에 만족할래
널 감싸주고나면 찾아오는 씁쓸한 행복감에
혼자만 느끼는 실없는 멜로지
여전히 널 대하는 내 맘은 새롭지

나만 가만히 있으면 달라질 것 없는 오늘
여전히 예뻐보이는 나의 너는
지나간 시간 속에서 그랬던 것처럼
나를 보면 사랑한다 말했어
떨어지기 싫은 기분 또 다시 느껴
그래, 넌 차라리 끝까지 숨겨
난 아무것도 모르는 것 처럼
기다릴 수 있거든, 미련해 보여도

바보같다고 나를 놀려도
그만하라고 나를 말려도
난 놓칠 수 없어
그 사람이 좋아서
아무리 날 무시해도
버틸래 이렇게라도",125.02,0.755,0.653,-6.129,0.397,0.5497,0.5347
Dang Dang Dang,Supreme Team,3Yf5Ca2EwSBI7wQIdGEPuR,"불이야 불, 우리가 나타났을 때 전화 안 해도 돼, one-one-nine
보석처럼 이 자리를 빛낼 때 baby say ""one more time""
남자들은 무관심하다가도 어느샌가 내 어깨에 손을 올려
서로 눈빛만 통해도 긴장이 다 풀려, 모두가 잘 어울려
불면증, 무기력증 그 공기 속에 노는 폼은 좀비
물 한 번 시원하게 뿌려주면 현실의 무거운 갑옷을 벗지
클럽 안의 아가들부터 길거리 위 악마들까지
발등에 불똥 떨어진 듯 날뛰는 모습이 아름답지

멈추는 게 더 힘이 드는 우린 땀 식히는 시간이 아깝지
밖이 여름인지 겨울인지 잊어버린 채로 아침까지
수많은 규칙, 숨 막히는 기준들에 맞서거나 피하기
팔, 다리 바삐 움직이며 다 털어 내버려, 빠-빠-빨리
떠 다니는 말들이 너무 많아, 바쁜 이 곳의 머리 아픈 이들
애매한 대답 뿐이던 세상에게 배 내밀어 배짱부리고
난리 피워, 필요한 만큼, 옆 사람 놀랄 만큼
말 달려, 막 달려, ay, 에어컨 하나로 모잘러",101.509,0.419,0.53,-13.135,0.355,0.5741,0.559
Only You,Supreme Team,7wz4TWpwUXPIL5bWSvt1oA,"Yeah, uh-oh, 하루에 16시간
시퍼렇게 눈 뜨고 있지만
그냥 춥기만 해, 내 옆이 비어서
게다가 괜히 서러워지는 날씨여서
친구 불러내서는 대화도 없이
한 잔씩 넘기며 술기운으로 버티는 토요일 새벽
거리 분위긴 너무 좋은데, 난 계속
있지도 않은 내 여인을 떠올리며 입 벌리고 앉아있어
언제 지워질까? 나와 너 사이의 선
만나야 돼, 그 때 다 얘기하께
니 생각하던 날이 한달에 30일은 돼
튼 살 늘어가는 내 맘에 니 손은 로션
걱정마, 난 내 여자는 최고로 모셔
너 하나면 돼, 그래, 너 하나면 돼
나 절대 급하게 구는 거 아냐, my baby

혼자서 뒹구르는 시간이 좀 아까워
오늘 같은 날 넌 친구들과 도망갔어
나 빼놓고 나가있는 너의 하루가
덜 행복했으면 좋겠다고 마음만 먹지
뭐부터 해야할지 몰라, 니가 없는
내 방처럼 정리가 안돼, 눈치가 없는
핸드폰에 알람이 날 깜짝 놀래키고
널 며칠 못 본 갈증에 난 목메이고
바닥만 긁어대지, 궁상맞은 놈처럼
보일까봐, 밖에도 못 나가겠어 애처로워
너의 남자로서 이런 것도 불평 못해
늦게라도 올 거 다 알아, 불 지펴놓을게
널 기다릴거야, 새벽마저 잠들 때까지
걱정되니까 빨리 와, 첫 차 뜰 때까지
I can't go to sleep, 하나만 얘기할게
Baby, 너도 이제 내게 간절해지길 바래",98.088,0.255,0.545,-14.844,0.831,0.4155,0.4025
Darling,Supreme Team,4NWdHUu2TYAKztRixq7eic,"최면에 빠진 듯 멈춰버린 시간에서
이제 그만 깨어나요, baby, good morning
반쯤 감긴 두 눈에 kiss해 셀 수 없이
봐 왔지만 여전히 새로운 너지
너무 따뜻해, 깍지 낀 두 손이
손가락에 화려한 반지 하나 없지만
우린 그 어떤 연인들 보다 더 빛나
마주보며 같이 숨 쉬는 것에 행복해서
이런 날들이 평생 계속 됐으면 하고 몰래 기도해
익숙한 아침의 서늘함이
우릴 더 끌어안게 만들어, 나른하지
내 발 위에서 함께 추는 waltz
둘만의 의식처럼 서로를 느끼는 달콤한 그 입맞춤

조금 더 가까이 와, 널 안을 수 있도록
너의 온기로 내 가슴 채울 수 있도록
행복하기만 해, 불안하게 떨리던
내 마음에 이제는 평온함이 느껴지고
누군가의 반이 되어 간다는 걸 실감해
너와 내가 느껴
더 깊게 깊게 널 파고 들고 싶어
물론 네가 허락 하는데까지만, 그러기로 할게
서로 더 좋아진 만큼만, 멈추라면 멈추고 더 가라면 가
네 손이 내 어깨 뒷 쪽에
내 입술은 내가 못 가진 미소 그 밑 쪽에

Yeah, feel good
내 품위에서 포근하게 잠이 든 너 (너)
날 감싸며 등에 딱 붙어있는 너
너의 머리카락을 쓸어 넘기며 너에게 kiss
I love you lips without lipstick
Come close to me baby
Come close to me, yeah
I give you to all, I give you to all
Take my hand, I love you all",96.06,0.686,0.71,-4.926,0.483,0.3822,0.3062
Take Me,Supreme Team,6kiWz3QCbl8kSDJwMOMvLj,"외출하기 전 거울 한번 쳐다봐
오늘 난 또 멍해져 있어
도시의 시끄러움이 오늘 내 잠을 깨웠어
나가야지, 뭐, 벌써 옷깃도 치켜 세웠어
번쩍이는 밤이 익숙해
조명은 하늘의 끝부터 머리 바로 위까지
밤 사이를 헤집어 놓은 불빛 아래서
미간 찌푸린 저 여자, 시크 하지
드러낸 품위 뒤에는 nasty 한
매력 가득 차 있을 것 같은 그녀의 스타일
눈이 안 떼져, 그녀 뒤의 배경이 되주는
압구정 거리는 화려함 더해줘
새벽을 전혀 어색해 하지 않는 사람들
공작새 같이 활짝 편 여자들, 남자들
난 약간은 불안하게 사는데 저들은 나 같지 않은 가봐
비교돼, 미래 때문에 머리 아픈 내 모습
나도 피곤해, I just wanna be successful
가만히 선 내 앞에 서 있는 차들
옆선 새끈하구나 아주

오늘이 아니면 안된다는 듯이 나에게 손짓해
나와 같은 명찰을 달고 다녔던 그들의 소식에
난 어색해할 관계들을 떠올리며 옷을 챙겨 입지, huh
잘 보이려고 신경 쓴 티가 나는 내 모습에서
어른이 보였다가 폼 잡는 애로 변했어
습관처럼 늦게 도착한 자리에
하나, 둘 날 궁금해 하며 맞이해
""오랜만이다, 잘 지냈어? 하는 일 잘 되가?""
뻔한 질문에 ""난 뭐 그렇지"", 뻔한 대답할 뿐
취기가 오르면 누구는 잘됐고 잘못 됐고
서로가 놀려대고 또 위로하고 혼내고를 반복해
어느 순간 내가 말이 없어질 땐
한 친구 놈의 성공담에 초점이 맞춰질 때야
혼자 쓸쓸 해져서 취한 척 해도
속으로 외쳐, I just wanna be successful

이 밤에 내 몸을 담구고, 말 없는 내 입을 잠구고
머리 위 저 별을 꿈꾸고, 다시 고개를 떨구고
Uh, 오늘과 내일이 엉킨 밤에 난 몰래 또
기대를 걸치고
모든 게 부러운 이 거리 위의 날 위로해
I just wanna be, I just wanna be successful, yeah",135.96,0.426,0.756,-8.75,0.355,0.3579,0.3243
Step Up,Supreme Team,581zLL9zOCQDPAh8AJLAp1,"So special, 다 널 보는 듯이
풀어 헤쳐, 널 던져 넣듯이
기지개 펴, 압박의 밑에서도
그냥 뛰어들어 with a passion
얹혀있던 것들 확 다 뱉어버려 전부
가만있다 더 체하기 전에 무거운 엉덩이 떼, go funky

못찾겠다 꾀꼬리, 숨어있으면 너만 외롭지
난 old skool 그녀는 electonic
너도 골라봐, 뭐든 좋으니까
칵테일처럼 잘 섞어볼게
땀이 찬 신발은 벗어도 돼
가볍게 고민들은 툭툭 던져
익숙해지면 너도 two thumbs up

시선들이 자길 끌어내리려는 것 같아
스텝을 밟아도 늘 엇박자
언제나 남의 것이던 spotlight
남의 등 뒤가 더 맘 편한 type
세상의 관객이 되더라도 일부러 구석으로 가진 말어
널 제대로 보여줘야 돼 like back by popular demand

가능하면 앞쪽에 서 내가 보이게
또 내가 널 잘 볼 수 있게
뒷걸음질만 치던 이 세상 속에 어눌한 몸치여
한 발짝 어색하지 않게 내딛을 때
내 손 잡아 어깨 힘을 빼
Uh-huh, we make it happen
하루하루가 오늘처럼 메인 이벤트",101.654,0.915,0.457,-2.232,0.551,0.4567,0.3147
Then,Supreme Team,5Qkux5dYMNYZjqhRut9mrG,"내가 잘못 했어, 그 지겨운 말
억지로 널 붙잡고 흐느껴 운 날
내 진심은 닳아버렸어
그런 순간 들을 모면하는 법까지 연기일 수밖에
물론 넌 그런 나를 알고 있었기에
얼굴 붉히는 일 없이 더 이상 기회는 없을 거라고
단정하며 오히려 차분하게 날 떠났어
그땐 지쳐있었어
나의 너를 안아주기엔 자격조차 없었거든
사랑보단 안정감이 더 커서
마음만 아슬하게 걸쳐있었을 뿐
아름다운 너에게 난 상처가 되기 싫었어
나쁜 놈으로 남기 싫어서
끝내는 되돌릴 방법 하나 생각 못하고
너를 그냥 보냈잖아

Uh, 깨끗이 잊는 법, 상처 다 아문 척
이제는 진짜 새로운 만남 시작해도 되는 때라고
말은 한다만 내 맘 같지 않아
어차피 사랑 이란게 다
애들 장난같은 거라 말하며 날 억지로 위로해
그래, 이 꼴엔 그런 구차함도 필요해
똑같은 곳에서 일하고, 똑같은 침대에서 잠을 자고
예전과 다를 것 없이 지내지만 딱 한 가지가 다르지
더 그럴듯한 변명거리나 날 미치도록 몰두하게 할
일들이 뭐가 있을까? 어떻게 텅비어버린 날 채울까?",107.266,0.996,0.307,-5.462,0.0347,0.3728,0.3527
why,Supreme Team,3HXEvcNNnqJfpg4GtfJL2g,"당연히 난 장난이거나
아님 잠깐 나에게 뭔가 삐친 게 있겠지 하고 착각 했어
툴툴 대는 네 말투, 줄어든 만남의 횟수
얼어붙은 네 표정 땜에 꺼져가는 내 맘의 횃불
그 어떤 아름다운 말로도
수습하기 힘든 지금 내 남은 믿음까지
시들해질 필요는 없다고 느끼는데
예전 같지 않아, 화도 꾹꾹 참으면서 네 자신을 숨기는 게
네가 말해주기 전까진
내가 뭘 잘못했는지 조차 깨닫지 못하는 것 잘 알잖아
죽느니 사느니 했던 이별 앞에서도
우린 수십 번 떨어졌다가도 다시 만났잖아
마지막이라는 말도 이제 마지막이니까
잠시만이라도 나와 줘, 너의 집 앞이니까
헤어지더라도 서로 얼굴은 보고 끝내
나에게 아쉬움이라도 남아있다면 좋게 끝내

왜라니, 내가 네 남자친구잖아
말 한마디로 다 떼 내 버릴 사인 아니잖아
왜라니, 이렇게 툭 던져놓으면 안되지
떠나고 싶은 맘, 그 맘까진 다 이해할 테니
도망가듯 떠나진 말아
얘기 좀만 더 하자, 네가 못된 거야 이건
미안하단 말? 그딴 건 기대도 안하니까
일단 와서 얼굴보고 말해
아직 우리 그 정도론 가까워
난 아까워, 네가 버리고 싶어 하는 기억들
네 입장에서 난 사라져야 되지
그렇게 미웠고 내가 싫었으면
미리 티라도 내지
내가 심하게 눈치 없던 것도 아닌데
꼭 지금 갑자기 꺼지라는 식으로
전부 다 밀어내야 됐는지
한번만 더 물어볼게
한번만 더 대답해
한번만 다시 생각해",117.027,0.856,0.684,-2.676,0.343,0.3625,0.346
Tired,Supreme Team,5OUq9SLuUf94xHNV0l5QUf,"모두가 하품해, 다 짠 듯이
지하철 공짜 newspaper 뒤로 피로를 감추지
졸다가 앞 사람에게 인사를 해 깍듯이
불안한 포즈로 잤더니 뒷목이 꽤 아프지
새벽에 급하게 끝낸 과제가
지금 내게 독이 되서 상태가 완전 메롱이야
계속 헤롱헤롱대
찡그리고 눈을 감으면 더욱 괴롭네
아침에 요란하게 날 깨운 엄마가 미워
(아유, 저거 즈그 아빠 닮아서.. 고마 이불 치워)
아, 나 잔소리 듣기 싫어
밥도 한 두 숟갈 퍼먹고 뛰쳐나왔더니 배도 무지고파

언제 일어났지?
내가 어젯밤엔 홧김에 다 팽개치고 잤지
내 삶 돌아가는 꼬라지에 내가 화가 나나 봐봐
눈 밑이 너무 시커매
진짜 인생이란게 간단한게 아니였네
전쟁 같은 세상살이에 나만 휴전 중
20대 도전 의식은 10대 때 이미 죽었구
별이 빛나는 밤에만 눈 떠, I love Van Gogh
해 뜨면 자, 니코틴, 카페인, 알코올 가득한 내 몸
(알콜? 웃기고 앉았네, 엄마나 도봐, 나나 퍼마시게
어이구, 마 손이 더더덜 떨린다)
이토록 난 사랑도 못받는 가축
세상 밖도 자주 안나가봤는데
자꾸 압박해 아주, 뭐, 장난 아냐

잘나신 아들래미 얼른 좀 일어나소
이 자슥 안 일나나 어디서 깔롱지기게 누워있어?
야, 이 소상아, 돈 벌어와도 시원치 않을 판에
어휴, 두야, 널 보면 마 내 손이 깨랑깨랑
가슴이 마 사쿤사쿤한게 오늘 마 학 마
빠마리 한 대 촉촉하게 맞고 저승사자랑
하이파이브해야 정신을 차리지?",123.994,0.876,0.69,-4.159,0.493,0.412,0.3688
